,tweet,date
111,"Patriots fans, as a Panthers fan i’m curious.... what were your opinions of Cam Newton before and what are they now… https://t.co/PcDPtSGwQN",2020-09-21 11:35:22
112,@RossTuckerNFL All #BlackMen deal with this issue on the job everyday.  The QB position in the #NFL  with what happ… https://t.co/XGkAKdWaRl,2020-09-21 11:23:45
113,Nearly everyone was wrong about @CameronNewton. Last night I saw a humble leader. A man on a mission that made 55 d… https://t.co/BdcrIGkW7f,2020-09-21 11:10:02
114,#sports #blog #sportsblog #nba #nfl #mlb #nhl #basketball #football #baseball #hockey #boston #bostonsports… https://t.co/zZ1z6OeWQw,2020-09-21 11:09:53
115,I looked at the @Patriots schedule this year and thought the @Seahawks would dismantle us. 34-10. Should of PA on t… https://t.co/xNIxXxWJPP,2020-09-21 10:58:57
116,"That’s my quarterback.
#CamNewton #rideordie #AceBoogie #CAMVP https://t.co/DwW3KngldN",2020-09-21 10:39:45
117,"After two weeks, it's apparent that #CamNewton still has it.  Even though New England lost last night, passing for… https://t.co/UcVWg7KyNY",2020-09-21 10:29:53
118,"As a dolphins fan, I have to admit I cheered for the patriots today. I want #CamNewton to do well🤦🏾‍♂️",2020-09-21 10:06:29
119,#camnewton WE NOW HAVE TO SEE CAM NEWTON AS SUPERFLY. WHY? ISN'T AMERICA STUNNED ENOUGH? IT'S SAD WE HAVE TO SEE SU… https://t.co/5Yi9Mrcg3Y,2020-09-21 09:42:14
120,"With all sincere gratitude, I want to exclusively thank you @destinybetpro  for all your assistance, I can remember… https://t.co/7Winwx4aTB",2020-09-21 09:39:39
121,An @nfl record for @CameronNewton #CamNewton #NFL #NFLSunday #SNFonNBC #Indastreetzsportz https://t.co/bYZMNJmPde,2020-09-21 09:33:04
122,"are you looking awesome Facebook Instagram ad post designer
contact :-https://t.co/RQQYTC7Wxk
check out my new podc… https://t.co/aGmrhDNHex",2020-09-21 09:29:59
123,"An @nfl record for #camnewton
#patriots @CameronNewton #TheSleazyReport https://t.co/jWaYDUTaeH",2020-09-21 09:29:28
124,"In their second game this season, #TomBrady and the @Buccaneers achieved the first win.

The @Patriots and… https://t.co/ma0Q3mnmdq",2020-09-21 09:17:44
125,"Hello Everyone,
I am a professional Graphic Designer.
If you need to Graphic Designer contact me

#graphicdesigner… https://t.co/SM0KRbwyoB",2020-09-21 09:03:09
126,"watch CAM NEWTON Press Conference after the #Patriots 30-35 loss to the #Seahawks 
#CamNewton
-
https://t.co/EqHvS6eUg1",2020-09-21 08:38:28
127,#health #healthyfood #healthylifestyle #healthychoices #HealthyEating #fitnessmotivation #fitspo #fitnessmodelBad… https://t.co/06HOCU631J,2020-09-21 08:37:39
128,National Clean Hands Week 2020 https://t.co/lgEdNYpvOd #CamNewton,2020-09-21 08:28:50
129,"Hey I bought The Okinawa Flat Belly Tonic and really it worked
Find out more here
👇👇👇👇👇👇👇
 https://t.co/MSOVnKLZRX… https://t.co/JnwFH8Q12X",2020-09-21 07:56:54
130,#patriots #CamNewton @Patriots,2020-09-21 07:55:49
131,Quién escribe los tuits de #PatsNation y #CamNewton? Niños de 15 años?,2020-09-21 07:17:08
132,w e e k e n d  l e a g u e  #speedrun #teambuilding |  🦅 50/50 @EAGLES THEME TEAM!  https://t.co/efvRvnuf4z… https://t.co/AeV5KHkNMp,2020-09-21 07:10:15
